연번,구,유형,주소,세부위치,위도,경도
1,도봉구,일반쓰레기,도봉로 95,도봉산역광역환승센터 앞,37.61751367,127.0293033
2,도봉구,일반쓰레기,도봉로 941 ,SK주유소 앞,37.68837753,127.0453292
3,도봉구,일반쓰레기,도봉로 851 ,북서울농협 앞,37.68039724,127.045003
4,도봉구,일반쓰레기,도봉로 771  ,국민은행 우측,37.67339518,127.0438671
5,도봉구,일반쓰레기,도봉로 749 ,먹거리부페 앞,37.6714221,127.0435263
6,도봉구,일반쓰레기,시루봉로 28,오봉초교 정문 앞,37.65109409,127.0292983
7,도봉구,일반쓰레기,도봉로 73,맥도날드 앞,36.13948573,128.3160703
8,도봉구,일반쓰레기,도봉로 486,쌍문역 1번 출구,37.64878277,127.0351332
9,도봉구,일반쓰레기,도봉산길 35,도봉산입구,37.68658424,127.0413472
10,도봉구,일반쓰레기,도봉동 637-37,도봉역 2번 출구,37.67726151,127.044894
11,도봉구,일반쓰레기,도봉로 948 ,도봉산역 1번 출구,37.68886178,127.0461401
12,도봉구,일반쓰레기,마들로 849 ,누원 고등학교앞,37.68556952,127.0499326
13,도봉구,일반쓰레기,마들로 849 ,누원 고등학교앞,37.68556952,127.0499326
14,도봉구,일반쓰레기,마들로 797,도봉 기적의 도서관 앞,37.68080449,127.0501336
15,도봉구,일반쓰레기,도봉동 637-53,신도봉교 옆,37.6802296,127.0471671
16,도봉구,일반쓰레기,도봉로170길 16,래미안 도봉 아파트,37.68027805,127.0465163
17,도봉구,일반쓰레기,마들로 749,서울북부지방법원,37.67739628,127.0471639
18,도봉구,일반쓰레기,마들로 671 ,도봉중학교 앞,37.67111226,127.0461511
19,도봉구,일반쓰레기,삼양로 538,덕성여대 입구,37.6510658,127.0131769
20,도봉구,일반쓰레기,삼양로 582 ,파리바게트 앞,37.65504694,127.0133167
21,도봉구,일반쓰레기,노해로63길 67  ,창동역 2번출구,37.65291331,127.0455874
22,도봉구,일반쓰레기,도봉로 483,쌍문역 4번 출구,37.64893363,127.0345321
23,도봉구,일반쓰레기,해등로 373 ,청한빌라 정문앞 버스정류장,37.65677356,127.0148331
24,도봉구,일반쓰레기,해등로 373 ,청한빌라옆 마을버스정류장,37.65677356,127.0148331
25,도봉구,일반쓰레기,우이천로 432,효문고등학교 앞,37.65269846,127.0184002
26,도봉구,일반쓰레기,쌍문동 429-9,덕성여대 후문앞,37.65269372,127.0172123
27,도봉구,일반쓰레기,우이천로 401 ,쌍문1치안센터 앞,37.65008495,127.0201685
28,도봉구,일반쓰레기,우이천로38길 81 ,꽃동네 3번 종점,37.6526152,127.0225959
29,도봉구,일반쓰레기,우이천로 381 ,코오롱아파트 앞,37.64983776,127.0206008
30,도봉구,일반쓰레기,우이천로32길 12 ,쌍문초교 담장 옆,37.64825077,127.0251687
31,도봉구,일반쓰레기,우이천로32길 12 ,쌍문초교 담장 옆,37.64825077,127.0251687
32,도봉구,일반쓰레기,노해로41가길 16 ,e편한 세상아파트 앞,37.64963336,127.0271735
33,도봉구,일반쓰레기,우이천로30길 28 ,염광아파트앞,37.64849645,127.0263277
34,도봉구,일반쓰레기,노해로 133 ,김밥천국 앞,37.64706802,127.0252528
35,도봉구,일반쓰레기,시루봉로 53,선덕고등학교 앞,37.65557861,127.0268694
36,도봉구,일반쓰레기,쌍문동 12,발바닥공원 앞,37.66048062,127.0352504
37,도봉구,일반쓰레기,해등로 19,삼익세라믹 109동 앞,37.64616579,127.0435725
38,도봉구,일반쓰레기,해등로 19,삼익세라믹 103동 앞,37.64616579,127.0435725
39,도봉구,일반쓰레기,해등로 166 ,북부농협 앞,37.65726244,127.0383695
40,도봉구,일반쓰레기,도봉로 603-1 ,쿠쿠 서비스센터 앞,37.6587625,127.0402288
41,도봉구,일반쓰레기,도봉로 581 ,보건소 사거리,37.65701263,127.0393241
42,도봉구,일반쓰레기,도봉로 551 ,도봉구민회관 맞은편,37.65448727,127.0377582
43,도봉구,일반쓰레기,도봉로129길 54 ,창경초등학교,37.65659976,127.0346012
44,도봉구,일반쓰레기,도봉로129길 54 ,창경초등학교,37.65659976,127.0346012
45,도봉구,일반쓰레기,노해로 217 ,H.S빌딩 앞,37.65128451,127.0324167
46,도봉구,일반쓰레기,노해로 217 ,H.S빌딩 앞,37.65128451,127.0324167
47,도봉구,일반쓰레기,노해로 170 ,금용 아파트 앞,37.6493601,127.0278767
48,도봉구,일반쓰레기,노해로 226 ,구립어린이집 앞,37.65093372,127.0331713
49,도봉구,일반쓰레기,도봉로 551 ,소피아관광호텔 앞,37.65448727,127.0377582
50,도봉구,일반쓰레기,도봉로 479 ,쌍문역 3번출구 횡단보도 앞,37.6486434,127.0343497
51,도봉구,일반쓰레기,도봉로 469 ,문화주차장 앞,37.64761665,127.0337015
52,도봉구,일반쓰레기,도봉로 606 ,쌍용자동차 앞,37.65856172,127.0413276
53,도봉구,일반쓰레기,우이천로 302,한일병원,37.64467785,127.0290526
54,도봉구,일반쓰레기,우이천로 302,한일병원 맞은편,37.64467785,127.0290526
55,도봉구,일반쓰레기,시루봉로 64 ,쌍문4동 주민센터 앞,37.65647933,127.0281093
56,도봉구,일반쓰레기,해등로 243,금호아파트 상가 앞,37.6576342,127.0295284
57,도봉구,일반쓰레기,시루봉로6길 86,현대1차 108동 앞,37.6591692,127.0322092
58,도봉구,일반쓰레기,해등로 218,보성빌딩 앞,37.65815643,127.032521
59,도봉구,일반쓰레기,해등로 264 ,선덕고 사거리,37.65780114,127.0253467
60,도봉구,일반쓰레기,도당로6길 36 ,강북 성복교회 앞,37.66145353,127.0369122
61,도봉구,일반쓰레기,방학동 265-1,발바닥공원 앞,37.66089994,127.0358916
62,도봉구,일반쓰레기,방학로 137-1 ,신한은행 맞은편,37.66262174,127.0368879
63,도봉구,일반쓰레기,방학로 103 ,청진동 해장국 맞은편,37.663012,127.040734
64,도봉구,일반쓰레기,도봉로145길 65,동부센트레빌 앞,37.66453487,127.0389027
65,도봉구,일반쓰레기,방학로 136 ,신한은행 앞,37.66317015,127.0370822
66,도봉구,일반쓰레기,도봉로 723 ,동물병원 앞,37.66909208,127.0432046
