연번,구,유형,주소,세부위치,위도,경도
1,도봉구,아이스팩,서울시 도봉구 노해로 147,쌍문1동 주민센터,37.64803683,127.0260507
2,도봉구,아이스팩,서울시 도봉구 방학로3길 117,쌍문2동 주민센터,37.65794025,127.0388301
3,도봉구,아이스팩,서울시 도봉구 노해로44길 9,쌍문3동 주민센터,37.64898397,127.0279223
4,도봉구,아이스팩,서울시 도봉구 시루봉로 62-7,쌍문4동 주민센터,37.65645236,127.0283979
5,도봉구,아이스팩,서울시 도봉구 방학로2길 27,방학1동 주민센터,37.66422282,127.0406557
6,도봉구,아이스팩,서울시 도봉구 시루봉로 226,방학2동 주민센터,37.66821414,127.0350517
7,도봉구,아이스팩,서울시 도봉구 시루봉로 94,방학3동 주민센터,37.65917284,127.0280094
8,도봉구,아이스팩,서울시 도봉구 덕릉로59길 73-3,창2동 주민센터,37.64140627,127.0356481
9,도봉구,아이스팩,서울시 도봉구 덕릉로62길 89,창3동 주민센터,37.63809071,127.042922
10,도봉구,아이스팩,서울시 도봉구 노해로 390,창4동 주민센터,37.65223421,127.0515367
11,도봉구,아이스팩,서울시 도봉구 도봉로136나길 20,창5동 주민센터,37.656334,127.0435868
12,도봉구,아이스팩,서울시 도봉구 도봉로169나길 22,도봉1동 주민센터,37.67869091,127.043413
13,도봉구,아이스팩,서울시 도봉구 마들로 668,도봉2동 주민센터,37.66967394,127.0465333
